word,asterisks,level
clue,2,star2_mid_high_common
cluster,0,none
coach,2,star2_mid_high_common
coal,2,star2_mid_high_common
coast,2,star2_mid_high_common
coat,1,star1_elementary
code,2,star2_mid_high_common
coffee,1,star1_elementary
coin,2,star2_mid_high_common
coincide,0,none
cold,1,star1_elementary
collaborate,0,none
collapse,0,none
collar,0,none
colleague,0,none
collect,1,star1_elementary
college,1,star1_elementary
colony,0,none
color,1,star1_elementary
colour,1,star1_elementary
column,0,none
combat,0,none
combine,2,star2_mid_high_common
come,1,star1_elementary
comedy,2,star2_mid_high_common
comfort,2,star2_mid_high_common
comic,1,star1_elementary
command,2,star2_mid_high_common
comment,2,star2_mid_high_common
commerce,2,star2_mid_high_common
commit,0,none
committee,2,star2_mid_high_common
commodity,0,none
common,2,star2_mid_high_common
communicate,2,star2_mid_high_common
communist,0,none
community,2,star2_mid_high_common
companion,0,none
company,1,star1_elementary
compare,2,star2_mid_high_common
compatible,0,none
compel,0,none
compensate,0,none
compete,0,none
compile,0,none
complain,2,star2_mid_high_common
complement,0,none
complete,2,star2_mid_high_common
complex,2,star2_mid_high_common
complicate,2,star2_mid_high_common
component,0,none
compose,0,none
compound,0,none
comprehend,0,none
comprise,0,none
compromise,0,none
compute,1,star1_elementary
conceal,0,none
conceive,0,none
concentrate,2,star2_mid_high_common
concept,2,star2_mid_high_common
concern,2,star2_mid_high_common
concert,2,star2_mid_high_common
conclude,0,none
concrete,0,none
condemn,0,none
condition,1,star1_elementary
conduct,0,none
confer,0,none
confess,0,none
confide,0,none
confine,0,none
confirm,2,star2_mid_high_common
conflict,2,star2_mid_high_common
conform,0,none
confront,0,none
confuse,2,star2_mid_high_common
congratulate,1,star1_elementary
congress,0,none
connect,2,star2_mid_high_common
conscience,0,none
conscious,2,star2_mid_high_common
consent,0,none
conserve,0,none
consider,2,star2_mid_high_common
consist,0,none
constant,2,star2_mid_high_common
constitute,0,none
constrain,0,none
construct,0,none
consult,0,none
consume,2,star2_mid_high_common
contact,2,star2_mid_high_common
contain,2,star2_mid_high_common
contemporary,0,none
contend,0,none
content,2,star2_mid_high_common
contest,2,star2_mid_high_common
context,2,star2_mid_high_common
continent,0,none
continue,2,star2_mid_high_common
contract,2,star2_mid_high_common
contradict,0,none
contrary,0,none
contrast,0,none
contribute,2,star2_mid_high_common
control,1,star1_elementary
controversy,0,none
convene,0,none
converse,2,star2_mid_high_common
convert,0,none
convey,0,none
convict,0,none
convince,2,star2_mid_high_common
cook,1,star1_elementary
cookie,1,star1_elementary
cooky,1,star1_elementary
cool,1,star1_elementary
cooperate,0,none
coordinate,0,none
cop,2,star2_mid_high_common
cope,2,star2_mid_high_common
copy,2,star2_mid_high_common
copyright,0,none
cord,0,none
core,0,none
corn,0,none
corner,1,star1_elementary
corporate,0,none
correct,2,star2_mid_high_common
correspond,0,none
corridor,0,none
corrupt,0,none
cost,1,star1_elementary
costume,0,none
cottage,2,star2_mid_high_common
cotton,2,star2_mid_high_common
cough,2,star2_mid_high_common
could,1,star1_elementary
council,2,star2_mid_high_common
counsel,0,none
count,2,star2_mid_high_common
counterpart,0,none
country,1,star1_elementary
countryside,2,star2_mid_high_common
county,2,star2_mid_high_common
couple,1,star1_elementary
coupon,0,none
courage,0,none
course,1,star1_elementary
court,1,star1_elementary
cousin,1,star1_elementary
cover,1,star1_elementary
cow,1,star1_elementary
crack,2,star2_mid_high_common
craft,0,none
crash,2,star2_mid_high_common
crawl,2,star2_mid_high_common
crayon,1,star1_elementary
craze,0,none
cream,1,star1_elementary
create,2,star2_mid_high_common
credible,0,none
credit,2,star2_mid_high_common
creep,0,none
crew,0,none
crime,2,star2_mid_high_common
crisis,2,star2_mid_high_common
crisp,2,star2_mid_high_common
criterion,0,none
critic,0,none
crop,0,none
cross,1,star1_elementary
crowd,2,star2_mid_high_common
crown,2,star2_mid_high_common
crucial,0,none
cruel,2,star2_mid_high_common
cruise,0,none
crush,0,none
cry,1,star1_elementary
crystal,0,none
cultivate,0,none
culture,1,star1_elementary
cup,1,star1_elementary
cure,2,star2_mid_high_common
curious,2,star2_mid_high_common
curl,2,star2_mid_high_common
currency,0,none
current,2,star2_mid_high_common
curriculum,0,none
curry,0,none
curse,0,none
curtain,1,star1_elementary
curve,0,none
custody,0,none
custom,0,none
customer,1,star1_elementary
cut,1,star1_elementary
cute,2,star2_mid_high_common
cycle,2,star2_mid_high_common
cynical,0,none
dairy,0,none
damage,2,star2_mid_high_common
damp,0,none
dance,1,star1_elementary
danger,1,star1_elementary
dare,2,star2_mid_high_common
dark,1,star1_elementary
darling,2,star2_mid_high_common
dash,0,none
database,0,none
date,1,star1_elementary
datum,0,none
daughter,1,star1_elementary
dawn,2,star2_mid_high_common
day,1,star1_elementary
dead,1,star1_elementary
deal,2,star2_mid_high_common
death,1,star1_elementary
debate,2,star2_mid_high_common
debt,2,star2_mid_high_common
decade,0,none
decay,0,none
decent,0,none
decide,1,star1_elementary
deck,2,star2_mid_high_common
declare,0,none
decline,0,none
decorate,2,star2_mid_high_common
decrease,0,none
dedicate,0,none
deep,1,star1_elementary
defeat,0,none
defend,0,none
defense,2,star2_mid_high_common
defence,2,star2_mid_high_common
deficiency,0,none
deficit,0,none
define,2,star2_mid_high_common
definite,2,star2_mid_high_common
degree,2,star2_mid_high_common
delay,2,star2_mid_high_common
delegate,0,none
delete,0,none
deliberate,0,none
delicate,0,none
delicious,1,star1_elementary
delight,2,star2_mid_high_common
deliver,2,star2_mid_high_common
demand,2,star2_mid_high_common
democracy,0,none
democrat,0,none
demon,0,none
demonstrate,2,star2_mid_high_common
dense,0,none
dentist,2,star2_mid_high_common
deny,2,star2_mid_high_common
depart,0,none
depend,2,star2_mid_high_common
depict,0,none
deposit,0,none
depress,2,star2_mid_high_common
deprive,0,none
derive,0,none
descend,0,none
describe,2,star2_mid_high_common
desert,2,star2_mid_high_common
deserve,2,star2_mid_high_common
design,1,star1_elementary
designate,0,none
desire,2,star2_mid_high_common
desk,1,star1_elementary
despair,0,none
desperate,2,star2_mid_high_common
despite,2,star2_mid_high_common
destine,0,none
destiny,0,none
destroy,2,star2_mid_high_common
destruct,0,none
detach,0,none
detail,2,star2_mid_high_common
detect,2,star2_mid_high_common
determine,2,star2_mid_high_common
develop,2,star2_mid_high_common
device,0,none
devil,0,none
devise,0,none
devote,0,none
diabetes,0,none
dialogue,1,star1_elementary
dialog,1,star1_elementary
diary,2,star2_mid_high_common
dictate,0,none
dictionary,2,star2_mid_high_common
die,1,star1_elementary
diet,2,star2_mid_high_common
differ,0,none
difficult,1,star1_elementary
dig,2,star2_mid_high_common
dignity,0,none
dimension,0,none
diminish,0,none
dine,0,none
dinner,1,star1_elementary
dip,0,none
diplomat,0,none
direct,2,star2_mid_high_common
dirt,2,star2_mid_high_common
disappoint,2,star2_mid_high_common
disaster,0,none
disc,2,star2_mid_high_common
discipline,2,star2_mid_high_common
discourse,0,none
discriminate,0,none
discuss,1,star1_elementary
disgust,2,star2_mid_high_common
dish,2,star2_mid_high_common
dismiss,0,none
display,2,star2_mid_high_common
dispute,0,none
disrupt,0,none
distance,2,star2_mid_high_common
distinct,0,none
distinguish,0,none
distort,0,none
distract,0,none
distribute,0,none
district,2,star2_mid_high_common
disturb,2,star2_mid_high_common
dive,2,star2_mid_high_common
diverse,0,none
divide,2,star2_mid_high_common
divine,0,none
divorce,2,star2_mid_high_common
do,1,star1_elementary
doctor,1,star1_elementary
document,2,star2_mid_high_common
dog,1,star1_elementary
doll,1,star1_elementary
dolphin,2,star2_mid_high_common
domain,0,none
domestic,2,star2_mid_high_common
dominate,0,none
donate,2,star2_mid_high_common
door,1,star1_elementary
dose,0,none
dot,0,none
double,1,star1_elementary
doubt,2,star2_mid_high_common
doughnut,1,star1_elementary
down,1,star1_elementary
dozen,2,star2_mid_high_common
draft,0,none
drag,2,star2_mid_high_common
drain,0,none
drama,2,star2_mid_high_common
draw,1,star1_elementary
dread,0,none
dream,1,star1_elementary
dress,1,star1_elementary
drill,0,none
drink,1,star1_elementary
drive,1,star1_elementary
drop,1,star1_elementary
drown,0,none
drug,2,star2_mid_high_common
drum,1,star1_elementary
dry,1,star1_elementary
dual,0,none
duck,1,star1_elementary
due,2,star2_mid_high_common
dull,0,none
dump,2,star2_mid_high_common
during,1,star1_elementary
dust,2,star2_mid_high_common
duty,2,star2_mid_high_common
dwell,0,none
dynamic,0,none
each,2,star2_mid_high_common
eager,0,none
ear,1,star1_elementary
early,1,star1_elementary
earn,2,star2_mid_high_common
earth,1,star1_elementary
ease,2,star2_mid_high_common
east,1,star1_elementary
eat,1,star1_elementary
economy,2,star2_mid_high_common
edge,2,star2_mid_high_common
edit,2,star2_mid_high_common
educate,2,star2_mid_high_common
effect,2,star2_mid_high_common
efficient,0,none
effort,2,star2_mid_high_common
egg,1,star1_elementary
eight,1,star1_elementary
either,2,star2_mid_high_common
elaborate,0,none
elect,2,star2_mid_high_common
electric,2,star2_mid_high_common
electronic,0,none
elegant,0,none
element,2,star2_mid_high_common
elephant,1,star1_elementary
elevate,0,none
eleven,1,star1_elementary
eliminate,0,none
elite,0,none
else,2,star2_mid_high_common
embarrass,2,star2_mid_high_common
embassy,0,none
embrace,0,none
emerge,0,none
emergency,0,none
emit,0,none
emotion,2,star2_mid_high_common
emphasis,0,none
emphasize,2,star2_mid_high_common
empire,2,star2_mid_high_common
employ,2,star2_mid_high_common
empty,2,star2_mid_high_common
encounter,0,none
end,1,star1_elementary
endure,0,none
enemy,2,star2_mid_high_common
energy,1,star1_elementary
engage,2,star2_mid_high_common
engine,2,star2_mid_high_common
engineer,2,star2_mid_high_common
enhance,0,none
enormous,2,star2_mid_high_common
enough,1,star1_elementary
enter,1,star1_elementary
enterprise,0,none
entertain,2,star2_mid_high_common
enthusiastic,0,none
entire,2,star2_mid_high_common
entry,0,none
envelope,2,star2_mid_high_common
environ,0,none
envy,0,none
equal,2,star2_mid_high_common
equip,0,none
era,0,none
erase,0,none
erect,0,none
err,0,none
escape,2,star2_mid_high_common
especial,2,star2_mid_high_common
essay,2,star2_mid_high_common
essence,0,none
establish,2,star2_mid_high_common
estate,0,none
estimate,2,star2_mid_high_common
ethic,0,none
ethnic,0,none
evacuate,0,none
evaluate,0,none
even,2,star2_mid_high_common
evening,1,star1_elementary
event,2,star2_mid_high_common
ever,2,star2_mid_high_common
every,1,star1_elementary
evidence,2,star2_mid_high_common
evil,2,star2_mid_high_common
evitable,0,none
evolution,0,none
evolve,0,none
exact,2,star2_mid_high_common
exaggerate,0,none
examine,2,star2_mid_high_common
example,1,star1_elementary
exceed,0,none
excel,0,none
except,2,star2_mid_high_common
excess,0,none
exchange,2,star2_mid_high_common
excite,2,star2_mid_high_common
exclude,0,none
excuse,2,star2_mid_high_common
executive,0,none
exercise,1,star1_elementary
exhaust,2,star2_mid_high_common
exhibit,0,none
exist,2,star2_mid_high_common
exit,2,star2_mid_high_common
exotic,0,none
expand,2,star2_mid_high_common
expect,2,star2_mid_high_common
expense,2,star2_mid_high_common
experience,2,star2_mid_high_common
experiment,2,star2_mid_high_common
expert,2,star2_mid_high_common
expertise,0,none
explain,2,star2_mid_high_common
explicit,0,none
explode,0,none
explore,0,none
export,0,none
expose,2,star2_mid_high_common
express,2,star2_mid_high_common
extend,2,star2_mid_high_common
extent,0,none
external,0,none
extinct,0,none
extra,2,star2_mid_high_common
extract,0,none
extraordinary,0,none
extreme,2,star2_mid_high_common
eye,1,star1_elementary
eyebrow,0,none
fabric,0,none
face,1,star1_elementary
facilitate,0,none
facility,0,none
fact,1,star1_elementary
factor,2,star2_mid_high_common
factory,2,star2_mid_high_common
faculty,0,none
fade,0,none
fail,1,star1_elementary
faint,2,star2_mid_high_common
fair,2,star2_mid_high_common
faith,2,star2_mid_high_common
fall,1,star1_elementary
false,0,none
fame,0,none
familiar,2,star2_mid_high_common
family,1,star1_elementary
fan,1,star1_elementary
fancy,2,star2_mid_high_common
fantastic,2,star2_mid_high_common
far,1,star1_elementary
fare,0,none
farm,1,star1_elementary
fascinate,2,star2_mid_high_common
fashion,2,star2_mid_high_common
fast,1,star1_elementary
fasten,0,none
fat,1,star1_elementary
fate,0,none
father,1,star1_elementary
fault,2,star2_mid_high_common
favor,2,star2_mid_high_common
favour,2,star2_mid_high_common
favorite,1,star1_elementary
favourite,1,star1_elementary
fear,2,star2_mid_high_common
feature,2,star2_mid_high_common
federal,0,none
fee,2,star2_mid_high_common
feed,2,star2_mid_high_common
feel,1,star1_elementary
fellow,2,star2_mid_high_common
female,2,star2_mid_high_common
fence,2,star2_mid_high_common
ferry,0,none
fertile,0,none
festival,1,star1_elementary
fever,2,star2_mid_high_common
few,2,star2_mid_high_common
fiber,0,none
fibre,0,none
fiction,0,none
field,1,star1_elementary
fierce,0,none
fight,1,star1_elementary
figure,2,star2_mid_high_common
file,1,star1_elementary
fill,1,star1_elementary
film,1,star1_elementary
filter,0,none
final,2,star2_mid_high_common
finance,2,star2_mid_high_common
find,1,star1_elementary
fine,1,star1_elementary
finger,1,star1_elementary
finish,1,star1_elementary
finite,0,none
fire,1,star1_elementary
firm,2,star2_mid_high_common
first,1,star1_elementary
fish,1,star1_elementary
fit,2,star2_mid_high_common
five,1,star1_elementary
fix,1,star1_elementary
flag,2,star2_mid_high_common
flame,2,star2_mid_high_common
flash,2,star2_mid_high_common
flat,2,star2_mid_high_common
flavor,0,none
flavour,0,none
flaw,0,none
flee,0,none
flesh,0,none
flexible,0,none
flight,2,star2_mid_high_common
flip,0,none
float,2,star2_mid_high_common
flock,0,none
flood,2,star2_mid_high_common
floor,1,star1_elementary
flourish,0,none
flow,2,star2_mid_high_common
flower,1,star1_elementary
flush,0,none
fly,1,star1_elementary
focus,1,star1_elementary
fog,2,star2_mid_high_common
fold,2,star2_mid_high_common
folk,2,star2_mid_high_common
follow,2,star2_mid_high_common
fond,0,none
food,1,star1_elementary
fool,1,star1_elementary
foot,1,star1_elementary
football,1,star1_elementary
for,1,star1_elementary
forbid,0,none
force,2,star2_mid_high_common
forecast,0,none
forehead,0,none
foreign,2,star2_mid_high_common
forest,1,star1_elementary
forever,2,star2_mid_high_common
forget,1,star1_elementary
forgive,2,star2_mid_high_common
fork,1,star1_elementary
form,1,star1_elementary
format,0,none
former,0,none
formula,0,none
forth,2,star2_mid_high_common
fortunate,2,star2_mid_high_common
fortune,2,star2_mid_high_common
forward,2,star2_mid_high_common
foster,0,none
found,2,star2_mid_high_common
fountain,0,none
four,1,star1_elementary
fox,1,star1_elementary
fraction,0,none
frame,2,star2_mid_high_common
framework,0,none
frankly,2,star2_mid_high_common
free,1,star1_elementary
freeze,2,star2_mid_high_common
frequent,0,none
fresh,1,star1_elementary
friend,1,star1_elementary
fright,2,star2_mid_high_common
frog,2,star2_mid_high_common
from,1,star1_elementary
front,1,star1_elementary
frost,0,none
frown,0,none
fruit,1,star1_elementary
frustrate,2,star2_mid_high_common
fry,2,star2_mid_high_common
fuel,0,none
fulfil,0,none
full,1,star1_elementary
fun,1,star1_elementary
function,2,star2_mid_high_common
fund,2,star2_mid_high_common
fundamental,0,none
funeral,0,none
fur,2,star2_mid_high_common
furnish,0,none
furniture,2,star2_mid_high_common
furthermore,0,none
fury,0,none
fuse,0,none
future,1,star1_elementary
gain,2,star2_mid_high_common
gallery,0,none
gamble,0,none
game,1,star1_elementary
gang,0,none
gap,0,none
garage,2,star2_mid_high_common
garden,1,star1_elementary
gas,1,star1_elementary
gasoline,0,none
petrol,0,none
gate,2,star2_mid_high_common
gather,2,star2_mid_high_common
gaze,0,none
gear,2,star2_mid_high_common
gender,0,none
gene,0,none
general,2,star2_mid_high_common
generate,0,none
generous,0,none
genius,0,none
gentle,2,star2_mid_high_common
gentleman,1,star1_elementary
genuine,0,none
geography,0,none
geology,0,none
gesture,2,star2_mid_high_common
get,1,star1_elementary
ghost,2,star2_mid_high_common
giant,2,star2_mid_high_common
gift,2,star2_mid_high_common
giraffe,2,star2_mid_high_common
girl,1,star1_elementary
give,1,star1_elementary
glad,1,star1_elementary
glance,2,star2_mid_high_common
glare,0,none
glass,1,star1_elementary
globe,0,none
glory,2,star2_mid_high_common
glove,2,star2_mid_high_common
glow,0,none
glue,2,star2_mid_high_common
go,1,star1_elementary
goal,1,star1_elementary
goat,0,none
god,1,star1_elementary
gold,1,star1_elementary
golf,2,star2_mid_high_common
good,1,star1_elementary
goodbye,1,star1_elementary
gorgeous,2,star2_mid_high_common
govern,2,star2_mid_high_common
grab,2,star2_mid_high_common
grace,2,star2_mid_high_common
grade,2,star2_mid_high_common
graduate,0,none
grain,0,none
grand,2,star2_mid_high_common
grandfather,1,star1_elementary
grant,2,star2_mid_high_common
grape,1,star1_elementary
graph,2,star2_mid_high_common
grasp,0,none
grass,1,star1_elementary
grateful,0,none
grave,0,none
gray,1,star1_elementary
grey,1,star1_elementary
great,1,star1_elementary
greed,0,none
green,1,star1_elementary
greet,2,star2_mid_high_common
grief,0,none
grip,0,none
grocery,2,star2_mid_high_common
gross,0,none
ground,1,star1_elementary
group,1,star1_elementary
grow,1,star1_elementary
guarantee,2,star2_mid_high_common
guard,2,star2_mid_high_common
guardian,0,none
guess,1,star1_elementary
guest,2,star2_mid_high_common
guide,2,star2_mid_high_common
guideline,0,none
guilt,2,star2_mid_high_common
guitar,1,star1_elementary
gulf,0,none
gum,1,star1_elementary
gun,2,star2_mid_high_common
guy,1,star1_elementary
gymnasium,0,none
gym,0,none
habit,1,star1_elementary
habitat,0,none
hair,1,star1_elementary
half,2,star2_mid_high_common
hall,2,star2_mid_high_common
halt,0,none
hamburger,1,star1_elementary
hammer,0,none
hand,1,star1_elementary
handicap,0,none
handle,2,star2_mid_high_common
handsome,2,star2_mid_high_common
hang,1,star1_elementary
happen,2,star2_mid_high_common
happy,1,star1_elementary
harbor,0,none
harbour,0,none
hard,1,star1_elementary
harm,2,star2_mid_high_common
harmony,0,none
harsh,0,none
harvest,0,none
hat,1,star1_elementary
hate,1,star1_elementary
haunt,0,none
have,1,star1_elementary
hazard,0,none
he,1,star1_elementary
head,1,star1_elementary
headquarters,0,none
heal,0,none
health,2,star2_mid_high_common
hear,2,star2_mid_high_common
heart,1,star1_elementary
heat,1,star1_elementary
heaven,2,star2_mid_high_common
heavy,1,star1_elementary
heel,0,none
height,2,star2_mid_high_common
heir,0,none
helicopter,2,star2_mid_high_common
hell,2,star2_mid_high_common
hello,1,star1_elementary
hey,1,star1_elementary
hi,1,star1_elementary
helmet,1,star1_elementary
help,1,star1_elementary
hence,0,none
here,1,star1_elementary
heritage,0,none
hero,1,star1_elementary
hesitate,2,star2_mid_high_common
hide,2,star2_mid_high_common
hierarchy,0,none
high,1,star1_elementary
highlight,0,none
highway,2,star2_mid_high_common
hike,1,star1_elementary
hill,1,star1_elementary
hint,2,star2_mid_high_common
hire,2,star2_mid_high_common
history,1,star1_elementary
hit,1,star1_elementary
hobby,1,star1_elementary
hold,1,star1_elementary
hole,2,star2_mid_high_common
holiday,1,star1_elementary
holy,0,none
home,1,star1_elementary
homework,1,star1_elementary
honest,1,star1_elementary
honey,2,star2_mid_high_common
honor,2,star2_mid_high_common
honour,2,star2_mid_high_common
hook,0,none
hope,1,star1_elementary
horizon,0,none
horror,0,none
horse,1,star1_elementary
hospital,1,star1_elementary
host,0,none
hostile,0,none
hot,1,star1_elementary
hotel,2,star2_mid_high_common
hour,1,star1_elementary
house,1,star1_elementary
household,0,none
how,1,star1_elementary
however,1,star1_elementary
hug,2,star2_mid_high_common
huge,2,star2_mid_high_common
human,1,star1_elementary
humor,2,star2_mid_high_common
humour,2,star2_mid_high_common
hundred,1,star1_elementary
hunger,2,star2_mid_high_common
hunt,1,star1_elementary
hurry,1,star1_elementary
hurt,2,star2_mid_high_common
husband,1,star1_elementary
hut,0,none
hypothesis,0,none
I,1,star1_elementary
ice,1,star1_elementary
idea,1,star1_elementary
ideal,0,none
identical,0,none
identity,2,star2_mid_high_common
ideology,0,none
if,1,star1_elementary
ignore,2,star2_mid_high_common
ill,2,star2_mid_high_common
illude,0,none
illustrate,2,star2_mid_high_common
image,1,star1_elementary
imagine,2,star2_mid_high_common
imitate,0,none
immediate,2,star2_mid_high_common
immense,0,none
immigrate,0,none
immune,0,none
impact,0,none
imperial,0,none
implement,0,none
imply,0,none
import,0,none
impose,0,none
impress,2,star2_mid_high_common
improve,2,star2_mid_high_common
in,1,star1_elementary
incentive,0,none
incident,0,none
incline,0,none
include,2,star2_mid_high_common
income,2,star2_mid_high_common
incorporate,0,none
increase,2,star2_mid_high_common
indeed,2,star2_mid_high_common
index,0,none
indicate,2,star2_mid_high_common
individual,2,star2_mid_high_common
induce,0,none
industry,2,star2_mid_high_common
infant,0,none
infect,0,none
infer,0,none
inflate,0,none
influence,2,star2_mid_high_common
inform,2,star2_mid_high_common
ingredient,0,none
inhabit,0,none
inherent,0,none
inhibit,0,none
initial,0,none
inject,0,none
injure,2,star2_mid_high_common
inn,0,none
innocent,2,star2_mid_high_common
innovate,0,none
input,0,none
inquire,0,none
enquire,0,none
insect,0,none
insert,0,none
inside,1,star1_elementary
insight,0,none
insist,2,star2_mid_high_common
inspect,2,star2_mid_high_common
inspire,0,none
install,0,none
instance,2,star2_mid_high_common
instant,2,star2_mid_high_common
instead,2,star2_mid_high_common
instinct,0,none
institute,0,none
instruct,2,star2_mid_high_common
instrument,2,star2_mid_high_common
insult,0,none
insure,2,star2_mid_high_common
integrate,0,none
intellect,0,none
intelligent,0,none
intend,2,star2_mid_high_common
intense,2,star2_mid_high_common
intent,2,star2_mid_high_common
interest,2,star2_mid_high_common
interfere,0,none
interior,0,none
intermediate,0,none
internal,2,star2_mid_high_common
internet,1,star1_elementary
interpret,0,none
interrupt,2,star2_mid_high_common
interval,0,none
intervene,0,none
intimate,0,none
into,1,star1_elementary
intrigue,0,none
introduce,1,star1_elementary
invade,0,none
invent,2,star2_mid_high_common
invest,2,star2_mid_high_common
investigate,2,star2_mid_high_common
invite,1,star1_elementary
involve,2,star2_mid_high_common
iron,2,star2_mid_high_common
irony,0,none
irritate,0,none
island,2,star2_mid_high_common
isolate,0,none
issue,1,star1_elementary
it,1,star1_elementary
item,2,star2_mid_high_common
jacket,1,star1_elementary
jail,0,none
jam,1,star1_elementary
jar,0,none
jaw,2,star2_mid_high_common
jeans,2,star2_mid_high_common
job,1,star1_elementary
jog,0,none
join,1,star1_elementary
joint,0,none
joke,2,star2_mid_high_common
journal,0,none
journey,2,star2_mid_high_common
joy,2,star2_mid_high_common
judge,2,star2_mid_high_common
juice,1,star1_elementary
jump,1,star1_elementary
junior,2,star2_mid_high_common
jury,0,none
just,1,star1_elementary
justice,2,star2_mid_high_common
keen,0,none
keep,1,star1_elementary
key,1,star1_elementary
kick,1,star1_elementary
kid,1,star1_elementary
kill,1,star1_elementary
kind,1,star1_elementary
king,1,star1_elementary
kiss,1,star1_elementary
kit,0,none
kitchen,1,star1_elementary
knee,2,star2_mid_high_common
knife,1,star1_elementary
knight,0,none
knock,2,star2_mid_high_common
knot,0,none
know,1,star1_elementary
knowledge,2,star2_mid_high_common
label,2,star2_mid_high_common
labor,2,star2_mid_high_common
labour,2,star2_mid_high_common
laboratory,2,star2_mid_high_common
lab,2,star2_mid_high_common
lack,2,star2_mid_high_common
ladder,0,none
lady,1,star1_elementary
lake,1,star1_elementary
lamb,2,star2_mid_high_common
lamp,2,star2_mid_high_common
land,1,star1_elementary
landscape,0,none
lane,2,star2_mid_high_common
language,2,star2_mid_high_common
lap,0,none
large,1,star1_elementary
laser,1,star1_elementary
last,1,star1_elementary
late,1,star1_elementary
latter,0,none
laugh,2,star2_mid_high_common
launch,0,none
laundry,0,none
law,2,star2_mid_high_common
lawn,2,star2_mid_high_common
lawyer,2,star2_mid_high_common
lay,2,star2_mid_high_common
lazy,1,star1_elementary
lead,2,star2_mid_high_common
leaf,2,star2_mid_high_common
league,2,star2_mid_high_common
leak,0,none
lean,2,star2_mid_high_common
leap,2,star2_mid_high_common
learn,1,star1_elementary
lease,0,none
leather,0,none
leave,2,star2_mid_high_common
lecture,0,none
left,1,star1_elementary
leg,1,star1_elementary
legal,2,star2_mid_high_common
legend,0,none
legislate,0,none
legitimate,0,none
leisure,0,none
lemon,2,star2_mid_high_common
lend,2,star2_mid_high_common
lesson,1,star1_elementary
let,2,star2_mid_high_common
letter,1,star1_elementary
level,2,star2_mid_high_common
liberal,0,none
liberty,0,none
library,1,star1_elementary
license,2,star2_mid_high_common
licence,2,star2_mid_high_common
lid,2,star2_mid_high_common
lie,1,star1_elementary
life,1,star1_elementary
lift,2,star2_mid_high_common
light,1,star1_elementary
like,1,star1_elementary
likewise,0,none
limit,2,star2_mid_high_common
line,1,star1_elementary
linguistic,0,none
link,2,star2_mid_high_common
lion,1,star1_elementary
lip,1,star1_elementary
liquid,0,none
list,2,star2_mid_high_common
listen,1,star1_elementary
literature,0,none
little,1,star1_elementary
live,1,star1_elementary
livingroom,2,star2_mid_high_common
load,2,star2_mid_high_common
loan,2,star2_mid_high_common
local,2,star2_mid_high_common
locate,2,star2_mid_high_common
lock,2,star2_mid_high_common
log,2,star2_mid_high_common
logic,0,none
lone,0,none
long,1,star1_elementary
look,1,star1_elementary
loose,2,star2_mid_high_common
lose,2,star2_mid_high_common
loss,2,star2_mid_high_common
lot,2,star2_mid_high_common
loud,2,star2_mid_high_common
love,1,star1_elementary
low,1,star1_elementary
loyal,0,none
luck,1,star1_elementary
lump,0,none
lunch,1,star1_elementary
luxury,0,none
machine,2,star2_mid_high_common
mad,1,star1_elementary
magazine,2,star2_mid_high_common
magic,2,star2_mid_high_common
magnet,0,none
magnificent,0,none
mail,1,star1_elementary
main,2,star2_mid_high_common
maintain,2,star2_mid_high_common
major,2,star2_mid_high_common
make,1,star1_elementary
male,2,star2_mid_high_common
man,1,star1_elementary
manage,2,star2_mid_high_common
manifest,0,none
manipulate,0,none
manner,2,star2_mid_high_common
manufacture,2,star2_mid_high_common
many,1,star1_elementary
map,1,star1_elementary
marathon,1,star1_elementary
margin,0,none
marine,0,none
mark,2,star2_mid_high_common
market,1,star1_elementary
marry,1,star1_elementary
marvel,2,star2_mid_high_common
mask,2,star2_mid_high_common
mass,2,star2_mid_high_common
master,2,star2_mid_high_common
match,2,star2_mid_high_common
mate,2,star2_mid_high_common
mathematics,1,star1_elementary
maths,1,star1_elementary
math,1,star1_elementary
matter,2,star2_mid_high_common
mature,0,none
maximum,2,star2_mid_high_common
may,1,star1_elementary
maybe,2,star2_mid_high_common
mayor,0,none
meal,2,star2_mid_high_common
mean,2,star2_mid_high_common
meanwhile,0,none
measure,2,star2_mid_high_common
meat,1,star1_elementary
mechanic,0,none
mechanism,0,none
medal,1,star1_elementary
mediate,0,none
medical,2,star2_mid_high_common
medicine,2,star2_mid_high_common
medieval,0,none
medium,0,none
meet,1,star1_elementary
melon,2,star2_mid_high_common
melt,2,star2_mid_high_common
member,1,star1_elementary
memory,1,star1_elementary
mental,2,star2_mid_high_common
mention,2,star2_mid_high_common
menu,2,star2_mid_high_common
merchant,0,none
mere,0,none
merge,0,none
merit,0,none
mess,2,star2_mid_high_common
message,2,star2_mid_high_common
metal,2,star2_mid_high_common
method,2,star2_mid_high_common
metropolitan,0,none
microphone,0,none
microwave,2,star2_mid_high_common
middle,1,star1_elementary
might,1,star1_elementary
migrate,0,none
mild,0,none
military,2,star2_mid_high_common
milk,1,star1_elementary
mill,2,star2_mid_high_common
million,0,none
mind,1,star1_elementary
mine,0,none
mineral,0,none
minimal,0,none
minimum,0,none
ministry,0,none
minor,2,star2_mid_high_common
minute,2,star2_mid_high_common
miracle,0,none
mirror,2,star2_mid_high_common
miss,1,star1_elementary
missile,0,none
mission,2,star2_mid_high_common
mix,2,star2_mid_high_common
mobile,0,none
mock,0,none
